Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
chromosome	cds	421365	421694	-	GBJ002_00422		Group-specific protein	RefSeq:WP_000587855.1, SO:0001217, UniParc:UPI0001A210C3, UniRef:UniRef100_A0A9X6Q9T5, UniRef:UniRef50_B7INN2, UniRef:UniRef90_B7INN2
chromosome	cds	421796	422134	-	GBJ002_00423		DUF4064 domain-containing protein	RefSeq:WP_000831394.1, SO:0001217, UniParc:UPI00027B3CE7, UniRef:UniRef100_A0A9X6XSF2, UniRef:UniRef50_Q81BB0, UniRef:UniRef90_Q81BB0
chromosome	cds	422262	422636	-	GBJ002_00424		Immunity 22 family protein	RefSeq:WP_000451788.1, SO:0001217, UniParc:UPI0001A1B69E, UniRef:UniRef100_A0A9X7P9U7, UniRef:UniRef50_Q6HGG8, UniRef:UniRef90_A0A9X6VVJ8
chromosome	cds	422740	423228	-	GBJ002_00425		Cytoplasmic protein	RefSeq:WP_000403540.1, SO:0001217, UniParc:UPI0002E4AE7A, UniRef:UniRef100_A0A9X6TSA0, UniRef:UniRef50_K0AXY3, UniRef:UniRef90_Q6HGG7
chromosome	cds	423455	424162	+	GBJ002_00426		DNA alkylation repair protein	RefSeq:WP_000346308.1, SO:0001217, UniParc:UPI0001A1F773, UniRef:UniRef100_A0A9X6TRP3, UniRef:UniRef50_Q81BA8, UniRef:UniRef90_Q81BA8
chromosome	cds	424274	424600	-	GBJ002_00427		DUF3895 domain-containing protein	RefSeq:WP_001071909.1, SO:0001217, UniParc:UPI00016B6D89, UniRef:UniRef100_A0A9X6ZUK8, UniRef:UniRef50_Q81B96, UniRef:UniRef90_A0A0J6P0C5
chromosome	cds	425393	425848	-	GBJ002_00428		DUF4274 domain-containing protein	RefSeq:WP_000428103.1, SO:0001217, UniParc:UPI00005B480B, UniRef:UniRef100_A0A9X6YCF9, UniRef:UniRef50_I8UK64, UniRef:UniRef90_J9CDV2
chromosome	cds	425873	426271	-	GBJ002_00429		A nuclease family of the HNH/ENDO VII superfamily with conserved AHH	RefSeq:WP_003309684.1, SO:0001217, UniParc:UPI0001A1F774, UniRef:UniRef100_A0AB35PDU6, UniRef:UniRef50_J9BYQ2, UniRef:UniRef90_A0A506QPD2
chromosome	cds	426486	426962	-	GBJ002_00430		Knr4/Smi1-like domain-containing protein	RefSeq:WP_001245027.1, SO:0001217, UniParc:UPI00005B4688, UniRef:UniRef100_A0A9X6YC70, UniRef:UniRef50_J8B1V9, UniRef:UniRef90_R8QEP4
chromosome	cds	426998	427426	-	GBJ002_00431		Knr4/Smi1-like domain-containing protein	RefSeq:WP_000092333.1, SO:0001217, UniParc:UPI00005B3F4E, UniRef:UniRef100_A0A9X7ANU0, UniRef:UniRef50_R8QDF1, UniRef:UniRef90_J8B3V7
chromosome	cds	427423	427659	-	GBJ002_00432		Toxin/Nuclease N-terminal domain-containing protein	SO:0001217, UniParc:UPI00005B452B, UniRef:UniRef100_A0A9X6TS16, UniRef:UniRef50_A0A9W3J864, UniRef:UniRef90_A0A9X6G406
chromosome	cds	427669	428124	-	GBJ002_00433		Toxin/Nuclease N-terminal domain-containing protein	SO:0001217, UniParc:UPI0002F10ECF, UniRef:UniRef100_A0A9X6TRG0, UniRef:UniRef50_R8QCQ1, UniRef:UniRef90_A0A9X6TRG0
chromosome	cds	428343	429056	-	GBJ002_00434		Pentapeptide repeat-containing protein	RefSeq:WP_000343655.1, SO:0001217, UniParc:UPI0001A1F776, UniRef:UniRef100_A0AB35PDJ9, UniRef:UniRef50_A0A0M0KEG3, UniRef:UniRef90_A0A9X6PGJ0
chromosome	cds	429076	429855	-	GBJ002_00435		DUF3396 domain-containing protein	RefSeq:WP_000801404.1, SO:0001217, UniParc:UPI0001A1F777, UniRef:UniRef100_A0AB35PDD4, UniRef:UniRef50_Q81B82, UniRef:UniRef90_J8B3V2
chromosome	cds	429904	430317	-	GBJ002_00436		ADP-ribosyltransferase	SO:0001217, UniParc:UPI00005B4974, UniRef:UniRef100_A0A9X8GBM7, UniRef:UniRef50_A0A9X8LXL2, UniRef:UniRef90_A0A9X8GBM7
chromosome	cds	430623	430796	-	GBJ002_00437		IS110 family transposase	GO:0004803, SO:0001217, UniParc:UPI00037E60C1, UniRef:UniRef100_A0A348A3H4, UniRef:UniRef50_A0A9W5QTH8, UniRef:UniRef90_A0A9W5QTH8
chromosome	cds	430835	431131	-	GBJ002_00438		Transposase IS116/IS110/IS902 family protein	SO:0001217, UniParc:UPI00005B4245, UniRef:UniRef100_A0A9X8C2N4, UniRef:UniRef50_A0A9X8C2N4, UniRef:UniRef90_A0A9X8C2N4
chromosome	cds	431150	431518	-	GBJ002_00439		hypothetical protein	SO:0001217, UniParc:UPI00005B4249, UniRef:UniRef100_A0A9X0SLT3, UniRef:UniRef50_A0A9X0SLT3, UniRef:UniRef90_A0A9X0SLT3
chromosome	cds	431862	432299	-	GBJ002_00440		Knr4/Smi1-like domain-containing protein	KEGG:K21494, RefSeq:WP_000190066.1, SO:0001217, UniParc:UPI00005B4241, UniRef:UniRef100_A0AB35PF21, UniRef:UniRef50_B8I223, UniRef:UniRef90_R8QEP6
chromosome	cds	432305	433930	-	GBJ002_00441		Toxin/Nuclease N-terminal domain-containing protein	RefSeq:WP_000382748.1, SO:0001217, UniParc:UPI00005B3E02, UniRef:UniRef100_A0AB35PER9, UniRef:UniRef50_A0A9W3J864, UniRef:UniRef90_A0A9X6TS06
chromosome	cds	433964	434290	-	GBJ002_00442		MFS transporter	RefSeq:WP_001198192.1, SO:0001217, UniParc:UPI0001A1F778, UniRef:UniRef100_A0AB35PFK7, UniRef:UniRef50_R8QDR3, UniRef:UniRef90_A0A0G8F4X4
chromosome	cds	434290	435009	-	GBJ002_00443		DUF5081 domain-containing protein	RefSeq:WP_000514122.1, SO:0001217, UniParc:UPI00005B4DDA, UniRef:UniRef100_A0A9W7ULJ7, UniRef:UniRef50_A7GQF3, UniRef:UniRef90_Q81B81
chromosome	cds	435032	435337	-	GBJ002_00444		WXG100 family type VII secretion target	RefSeq:WP_000014535.1, SO:0001217, UniParc:UPI00019FE592, UniRef:UniRef100_A0A9X5C090, UniRef:UniRef50_A0A5M8RQN7, UniRef:UniRef90_Q81B80
chromosome	cds	435364	435786	-	GBJ002_00445		EsaC-like protein	RefSeq:WP_000883464.1, SO:0001217, UniParc:UPI0001A1F779, UniRef:UniRef100_A0A9W7PV93, UniRef:UniRef50_J9BYR6, UniRef:UniRef90_J9BYR6
chromosome	cds	436388	437107	-	GBJ002_00446	ldcB	Peptidase M15B domain-containing protein	COG:COG1876, COG:M, SO:0001217, UniParc:UPI00027B3CEA, UniRef:UniRef100_A0A9X7FW90, UniRef:UniRef50_J8XX09, UniRef:UniRef90_A0A9W5NQK0
chromosome	cds	437168	438346	-	GBJ002_00447	capA	Capsule synthesis protein CapA domain-containing protein	COG:COG2843, COG:M, RefSeq:WP_033795212.1, SO:0001217, UniParc:UPI000450DE41, UniRef:UniRef100_UPI000450DE41, UniRef:UniRef50_J8DLT3, UniRef:UniRef90_J8DLT3
chromosome	cds	439001	439201	-	GBJ002_00448		NETI motif-containing protein	RefSeq:WP_000166303.1, SO:0001217, UniParc:UPI000018E82F, UniRef:UniRef100_A0A2B0Y4X4, UniRef:UniRef50_U5L4Y3, UniRef:UniRef90_A0A6L8P2T5
chromosome	cds	439185	440381	-	GBJ002_00449	araJ	Major facilitator superfamily (MFS) profile domain-containing protein	COG:COG2814, COG:G, RefSeq:WP_000062805.1, SO:0001217, UniParc:UPI00027B3CEC, UniRef:UniRef100_A0A9X6YC64, UniRef:UniRef50_J9CDX6, UniRef:UniRef90_J9CDX6
chromosome	cds	440494	440721	-	GBJ002_00450		Spore coat protein D	RefSeq:WP_000549500.1, SO:0001217, UniParc:UPI00024119D0, UniRef:UniRef100_Q81B76, UniRef:UniRef50_J8AB06, UniRef:UniRef90_Q81B76
chromosome	cds	440783	441685	-	GBJ002_00451	menH	AB hydrolase-1 domain-containing protein	COG:COG0596, COG:HR, RefSeq:WP_000594882.1, SO:0001217, UniParc:UPI00027B3CED, UniRef:UniRef100_A0AB35PDP2, UniRef:UniRef50_J8EHB0, UniRef:UniRef90_J8EHB0
chromosome	cds	441875	442291	+	GBJ002_00452	marR	HTH marR-type domain-containing protein	COG:COG1846, COG:K, RefSeq:WP_000343679.1, SO:0001217, UniParc:UPI00016B4117, UniRef:UniRef100_A0A9X6VAL0, UniRef:UniRef50_A0AAP8BH22, UniRef:UniRef90_A0AAP8BH22
chromosome	cds	442307	443506	+	GBJ002_00453	araJ	Major facilitator superfamily (MFS) profile domain-containing protein	COG:COG2814, COG:G, RefSeq:WP_001190320.1, SO:0001217, UniParc:UPI00016B4118, UniRef:UniRef100_A0A9X7GAJ6, UniRef:UniRef50_J8YNK7, UniRef:UniRef90_J8YNK7
chromosome	cds	443607	444866	+	GBJ002_00454	ampC	6-aminohexanoate-dimer hydrolase, putative	COG:COG1680, COG:V, RefSeq:WP_000769540.1, SO:0001217, UniParc:UPI00005B4FA4, UniRef:UniRef100_A0A9Q1VYG5, UniRef:UniRef50_A0A5M9GPK7, UniRef:UniRef90_Q734U4
chromosome	cds	444986	445090	-	GBJ002_00455		Imidazoleglycerol-phosphate dehydratase	SO:0001217, UniParc:UPI00006B09F6, UniRef:UniRef100_A0A9W5QHB5, UniRef:UniRef50_A0A9W5QHB5, UniRef:UniRef90_A0A9W5QHB5
chromosome	cds	445605	446972	-	GBJ002_00456		Short-chain fatty acid transporter	KEGG:K02106, RefSeq:WP_000682890.1, SO:0001217, UniParc:UPI00005B4FA7, UniRef:UniRef100_A0A9X6SM34, UniRef:UniRef50_W8YE56, UniRef:UniRef90_W8YE56
chromosome	cds	447263	447616	-	GBJ002_00457		Group-specific protein	RefSeq:WP_001006485.1, SO:0001217, UniParc:UPI0002797FEB, UniRef:UniRef100_A0A9X7J8C7, UniRef:UniRef50_Q6HGA5, UniRef:UniRef90_B7IPH2
chromosome	cds	447613	448188	-	GBJ002_00458	mdaB	Flavodoxin-like fold domain-containing protein	COG:COG2249, COG:R, RefSeq:WP_001101653.1, SO:0001217, UniParc:UPI00005B46E9, UniRef:UniRef100_A0A9Q7J3M6, UniRef:UniRef50_A0AA95MIU7, UniRef:UniRef90_R8QCX2
chromosome	cds	448212	448601	-	GBJ002_00459		SWIM-type domain-containing protein	RefSeq:WP_000271475.1, SO:0001217, UniParc:UPI00005B3F9F, UniRef:UniRef100_A0A9X0VXV8, UniRef:UniRef50_Q81N58, UniRef:UniRef90_R8QCV1
chromosome	cds	448865	449179	-	GBJ002_00460		Group-specific protein	SO:0001217, UniParc:UPI00024119CB, UniRef:UniRef100_A0A9W4ABE0, UniRef:UniRef50_Q6HGA2, UniRef:UniRef90_Q6HGA2
chromosome	ncRNA-region	449223	449321	-			SAM riboswitch aptamer (S box leader)	RFAM:RF00162, SO:0000140
chromosome	cds	449453	449644	+	GBJ002_00461		Group-specific protein	RefSeq:WP_000554032.1, SO:0001217, UniParc:UPI00005B4CB1, UniRef:UniRef100_A0A9Q7N9F7, UniRef:UniRef50_A0A0J1HVF0, UniRef:UniRef90_A0A9Q7N9F7
chromosome	cds	449675	450397	-	GBJ002_00462		YwiC-like protein	RefSeq:WP_000779995.1, SO:0001217, UniParc:UPI00005B527D, UniRef:UniRef100_A0A9W3TER1, UniRef:UniRef50_J9CE03, UniRef:UniRef90_J9CE03
chromosome	cds	450580	451281	-	GBJ002_00463		ECF transporter S component	RefSeq:WP_000044906.1, SO:0001217, UniParc:UPI00027B3CEF, UniRef:UniRef100_A0AB35PH59, UniRef:UniRef50_A9VLV5, UniRef:UniRef90_Q6HG99
chromosome	cds	451254	452909	-	GBJ002_00464	ecfA2	energy-coupling factor transporter ATPase	COG:COG1122, COG:PR, EC:7.-.-.-, GO:0005524, GO:0006810, GO:0009898, GO:0016887, GO:0042626, GO:0043190, SO:0001217, UniParc:UPI00027B3CF0, UniRef:UniRef100_A0AB35PE33, UniRef:UniRef50_Q81N53, UniRef:UniRef90_Q81N53
chromosome	cds	452888	453766	-	GBJ002_00465	ecfT	ABC transmembrane type-1 domain-containing protein	COG:COG0619, COG:H, KEGG:K16785, RefSeq:WP_003258018.1, SO:0001217, UniParc:UPI00005B4E38, UniRef:UniRef100_A0AB35PDX2, UniRef:UniRef50_R8QEV3, UniRef:UniRef90_W8Z1W5
chromosome	cds	453789	454607	-	GBJ002_00466		Transcobalamin-like C-terminal domain-containing protein	RefSeq:WP_000048884.1, SO:0001217, UniParc:UPI0001A1F904, UniRef:UniRef100_A0AB35PEV8, UniRef:UniRef50_Q6HG96, UniRef:UniRef90_A0A9X6QWY4
chromosome	cds	454665	456551	-	GBJ002_00467		Transcobalamin-like C-terminal domain-containing protein	RefSeq:WP_001241059.1, SO:0001217, UniParc:UPI0001A1F905, UniRef:UniRef100_A0AB35PDQ6, UniRef:UniRef50_A0AAP7W9A6, UniRef:UniRef90_W8YDG9
chromosome	cds	456891	457370	-	GBJ002_00468	rraA	ribonuclease E activity regulator RraA	COG:COG0684, COG:J, EC:4.1.3.17, GO:0008428, GO:0008948, GO:0046872, GO:0047443, GO:0051252, KEGG:K02553, RefSeq:WP_000266028.1, SO:0001217, UniParc:UPI00005B43EF, UniRef:UniRef100_A0A9W7PVC4, UniRef:UniRef50_Q81N49, UniRef:UniRef90_Q81N49
chromosome	cds	457570	459000	+	GBJ002_00469	yfcC	YfcC family protein	COG:COG1288, COG:R, RefSeq:WP_001166977.1, SO:0001217, UniParc:UPI0001A1F906, UniRef:UniRef100_A0AAW9J517, UniRef:UniRef50_P55908, UniRef:UniRef90_A0A9X5RSM4
chromosome	cds	459147	459974	-	GBJ002_00470	endA	Ribonuclease	COG:COG2356, COG:L, RefSeq:WP_000672181.1, SO:0001217, UniParc:UPI00016B4416, UniRef:UniRef100_A0A9Q1VYX4, UniRef:UniRef50_A0A975RBK3, UniRef:UniRef90_A0A084IVM0
chromosome	cds	460474	460830	-	GBJ002_00471		ATPase	RefSeq:WP_001229428.1, SO:0001217, UniParc:UPI00005B4BA6, UniRef:UniRef100_A0AB35PF47, UniRef:UniRef50_A0A6L7H2D5, UniRef:UniRef90_A0A6L7H2D5
chromosome	cds	461041	461919	-	GBJ002_00472	mtnN	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	EC:3.2.2.16, EC:3.2.2.9, GO:0008782, GO:0008930, GO:0009164, GO:0019509, RefSeq:WP_000742458.1, SO:0001217, UniParc:UPI00016B4418, UniRef:UniRef100_A0A9X6Y7G5, UniRef:UniRef50_D5E349, UniRef:UniRef90_A0A0G8CHA7
chromosome	ncRNA-region	462100	462203	-			Purine riboswitch aptamer	RFAM:RF00167, SO:0000035
chromosome	cds	462444	462920	-	GBJ002_00473	ybaK	Cys-tRNA(Pro) deacylase	COG:COG2606, COG:J, EC:3.1.1.-, GO:0002161, GO:0043039, KEGG:K03976, RefSeq:WP_000710859.1, SO:0001217, UniParc:UPI0001A1F909, UniRef:UniRef100_A0AB35PFP5, UniRef:UniRef50_A0A099I5U2, UniRef:UniRef90_A0A5M9GMS3
chromosome	cds	463261	464538	+	GBJ002_00474	hisS	histidine--tRNA ligase	BlastRules:WP_000405915, BlastRules:WP_003161280, COG:COG0124, COG:J, EC:6.1.1.21, GO:0004821, GO:0005524, GO:0005737, GO:0006427, GO:0016740, KEGG:K01892, RefSeq:WP_000425333.1, SO:0001217, UniParc:UPI0001A1F90A, UniRef:UniRef100_A0AB35PC35, UniRef:UniRef50_Q81N41, UniRef:UniRef90_Q81N41
chromosome	cds	464701	465012	+	GBJ002_00475		Group-specific protein	RefSeq:WP_000860703.1, SO:0001217, UniParc:UPI00005B404A, UniRef:UniRef100_A0A9Q7IZ54, UniRef:UniRef50_Q81B70, UniRef:UniRef90_A0A9X6UEP4
chromosome	cds	465235	465834	+	GBJ002_00476		Group-specific protein	RefSeq:WP_000914419.1, SO:0001217, UniParc:UPI00016B441A, UniRef:UniRef100_A0A9X6THB3, UniRef:UniRef50_A0A073KCP9, UniRef:UniRef90_A0A2A8Y7A6
chromosome	cds	465996	466376	-	GBJ002_00477	hxlR	HTH hxlR-type domain-containing protein	COG:COG1733, COG:K, RefSeq:WP_000340656.1, SO:0001217, UniParc:UPI00016B441B, UniRef:UniRef100_A0A2A7D3W7, UniRef:UniRef50_A0A158RHZ5, UniRef:UniRef90_A0A158RHZ5
chromosome	cds	466505	467188	+	GBJ002_00478	nfnB	Dihydropteridine reductase	COG:C, COG:COG0778, RefSeq:WP_000185604.1, SO:0001217, UniParc:UPI00016B441C, UniRef:UniRef100_A0A9Q1ZTR5, UniRef:UniRef50_O34475, UniRef:UniRef90_A0A0G8CHE9
chromosome	cds	467350	467625	+	GBJ002_00479		DUF1292 domain-containing protein	SO:0001217, UniParc:UPI00016B441D, UniRef:UniRef100_A0A9X6Z5G9, UniRef:UniRef50_Q81B66, UniRef:UniRef90_Q81B66
chromosome	cds	467676	468734	-	GBJ002_00480	pykF	pyruvate kinase	COG:COG0469, COG:G, EC:2.7.1.40, KEGG:K00873, RefSeq:WP_000151075.1, SO:0001217, UniParc:UPI00027B3E0A, UniRef:UniRef100_A0AB35PDZ0, UniRef:UniRef50_Q81B65, UniRef:UniRef90_Q81B65
chromosome	cds	469017	469493	+	GBJ002_00481	xoxI	XoxI protein	RefSeq:WP_001056355.1, SO:0001217, UniParc:UPI00027973BA, UniRef:UniRef100_A0A9X6THT6, UniRef:UniRef50_Q81B64, UniRef:UniRef90_Q81B64
chromosome	cds	469565	470503	+	GBJ002_00482		Group-specific protein	RefSeq:WP_000810164.1, SO:0001217, UniParc:UPI0001A1B818, UniRef:UniRef100_A0A9X7P8S0, UniRef:UniRef50_A0A2B0TM59, UniRef:UniRef90_B7IPJ8
chromosome	cds	470566	471288	-	GBJ002_00483		Lipoprotein	RefSeq:WP_000782525.1, SO:0001217, UniParc:UPI0001A1B819, UniRef:UniRef100_A0A9W7UWS6, UniRef:UniRef50_Q81B62, UniRef:UniRef90_Q81B62
chromosome	cds	471626	472384	-	GBJ002_00484	fabG	3-oxoacyl-[acyl-carrier-protein] reductase FabG	COG:COG1028, COG:I, RefSeq:WP_002082465.1, SO:0001217, UniParc:UPI00016B4422, UniRef:UniRef100_A0A9X6Y7M4, UniRef:UniRef50_A0A402BC81, UniRef:UniRef90_A0A5M9GJ77
chromosome	cds	472442	474100	-	GBJ002_00485		ABC transporter permease	RefSeq:WP_000036853.1, SO:0001217, UniParc:UPI00016B4423, UniRef:UniRef100_A0A9W7QPX7, UniRef:UniRef50_J8DLK6, UniRef:UniRef90_J8DLK6
chromosome	cds	474093	474818	-	GBJ002_00486	rbbA	ABC transporter domain-containing protein	COG:COG1131, COG:JV, RefSeq:WP_000570204.1, SO:0001217, UniParc:UPI00016B4424, UniRef:UniRef100_A0A9Q1VY56, UniRef:UniRef50_A0A1Y4K201, UniRef:UniRef90_J7XNL4
chromosome	cds	474907	475101	-	GBJ002_00487		Group-specific protein	RefSeq:WP_000958863.1, SO:0001217, UniParc:UPI000018E844, UniRef:UniRef100_Q81B58, UniRef:UniRef50_Q81B58, UniRef:UniRef90_Q81B58
chromosome	cds	475281	475640	+	GBJ002_00488		DUF3796 domain-containing protein	RefSeq:WP_000859207.1, SO:0001217, UniParc:UPI00005B4D62, UniRef:UniRef100_A0A9Q7J6E3, UniRef:UniRef50_A0A6L7H1Z7, UniRef:UniRef90_A0A6L7H1Z7
chromosome	cds	475628	475831	+	GBJ002_00489	xRE	HTH cro/C1-type domain-containing protein	COG:COG1476, COG:K, RefSeq:WP_000896294.1, SO:0001217, UniParc:UPI00005B4D66, UniRef:UniRef100_A0A9Q7JBN8, UniRef:UniRef50_J9C060, UniRef:UniRef90_J9C060
chromosome	cds	475879	476844	-	GBJ002_00490		Cytoplasmic protein	RefSeq:WP_000955111.1, SO:0001217, UniParc:UPI00005B4634, UniRef:UniRef100_A0AB35PCV0, UniRef:UniRef50_A9VLY4, UniRef:UniRef90_W8YE82
chromosome	cds	477074	477784	-	GBJ002_00491	yigB	YjjG family noncanonical pyrimidine nucleotidase	COG:COG1011, COG:H, EC:3.1.3.5, GO:0008253, RefSeq:WP_000875914.1, SO:0001217, UniParc:UPI00005B4A6D, UniRef:UniRef100_A0AB35PE31, UniRef:UniRef50_A0A378XXW1, UniRef:UniRef90_Q81B55
chromosome	cds	477872	478894	-	GBJ002_00492	oca4	Protein tyrosine phosphatase	COG:COG2365, COG:T, RefSeq:WP_000437804.1, SO:0001217, UniParc:UPI0001A1F90F, UniRef:UniRef100_A0AB35PC47, UniRef:UniRef50_Q81B54, UniRef:UniRef90_Q81B54
chromosome	cds	479160	479882	-	GBJ002_00493		N-acetyltransferase	RefSeq:WP_000207413.1, SO:0001217, UniParc:UPI00005B41E4, UniRef:UniRef100_A0A9W5QTH2, UniRef:UniRef50_J9C070, UniRef:UniRef90_A0A9X6JC07
chromosome	cds	480006	480845	+	GBJ002_00494		DUF2785 domain-containing protein	RefSeq:WP_000355454.1, SO:0001217, UniParc:UPI00005B434C, UniRef:UniRef100_A0A9X7BB47, UniRef:UniRef50_A0A073JQR0, UniRef:UniRef90_J9CE72
chromosome	cds	480863	481312	+	GBJ002_00495		Nudix hydrolase domain-containing protein	RefSeq:WP_000540465.1, SO:0001217, UniParc:UPI0001A1F910, UniRef:UniRef100_A0A9W5QTN2, UniRef:UniRef50_A0A1Y6AFI3, UniRef:UniRef90_A0AAP7W9E9
chromosome	cds	481405	481659	-	GBJ002_00496		DUF2651 domain-containing protein	RefSeq:WP_001289513.1, SO:0001217, UniParc:UPI00016B4734, UniRef:UniRef100_A0A9Q7NCJ4, UniRef:UniRef50_A0A6L7H0F9, UniRef:UniRef90_Q734N3
chromosome	cds	481750	482130	-	GBJ002_00497	gloA	Glyoxalase/bleomycin resistance/extradiol dioxygenase family protein	COG:COG0346, COG:Q, RefSeq:WP_000687550.1, SO:0001217, UniParc:UPI00016B4735, UniRef:UniRef100_A0A9X0VXG6, UniRef:UniRef50_J8FE46, UniRef:UniRef90_J8FE46
chromosome	cds	482192	483220	-	GBJ002_00498	nagC	ROK family protein	COG:COG1940, COG:GK, RefSeq:WP_000003031.1, SO:0001217, UniParc:UPI000188BED2, UniRef:UniRef100_A0AAP6IAZ8, UniRef:UniRef50_A0A1B3XQA9, UniRef:UniRef90_R8CQ22
chromosome	cds	483343	484536	-	GBJ002_00499		Major facilitator superfamily (MFS) profile domain-containing protein	RefSeq:WP_000417594.1, SO:0001217, UniParc:UPI0001A1E153, UniRef:UniRef100_A0AB35PDI9, UniRef:UniRef50_J8D5S2, UniRef:UniRef90_R8CQ05
chromosome	cds	484593	485156	-	GBJ002_00500	wbbJ	Acetyltransferase	COG:COG0110, COG:R, EC:2.3.1.79, KEGG:K00661, RefSeq:WP_000845634.1, SO:0001217, UniParc:UPI0001A1E154, UniRef:UniRef100_A0A9W5VL24, UniRef:UniRef50_Q638N0, UniRef:UniRef90_Q638N0
chromosome	cds	485230	485388	-	GBJ002_00501		hypothetical protein	
chromosome	cds	485530	488019	-	GBJ002_00502		ABC3 transporter permease protein domain-containing protein	RefSeq:WP_000597768.1, SO:0001217, UniParc:UPI00027B3E0B, UniRef:UniRef100_A0AB35PF85, UniRef:UniRef50_A0A0Q3WUA6, UniRef:UniRef90_J9B9I9
chromosome	cds	488016	488777	-	GBJ002_00503	lolD	ABC transporter domain-containing protein	COG:COG1136, COG:M, SO:0001217, UniParc:UPI0001A1E156, UniRef:UniRef100_A0A9X8C2R8, UniRef:UniRef50_J8Y1A5, UniRef:UniRef90_J8Y1A5
chromosome	cds	488767	488916	-	GBJ002_00504		Phage protein	RefSeq:WP_000256361.1, SO:0001217, UniParc:UPI00027B3E0C, UniRef:UniRef100_A0A9X8C304, UniRef:UniRef50_R8HWX9, UniRef:UniRef90_A0A2B3L833
chromosome	cds	488972	489979	-	GBJ002_00505	trpS	tryptophan--tRNA ligase	COG:COG0180, COG:J, EC:6.1.1.2, GO:0004830, GO:0006436, SO:0001217, UniParc:UPI00027B3E0D, UniRef:UniRef100_A0A9X8C3E9, UniRef:UniRef50_A0A1H4H8M8, UniRef:UniRef90_Q6HG60
chromosome	ncRNA-region	490023	490230	-			T-box leader	RFAM:RF00230, SO:0000140
chromosome	cds	490368	491525	+	GBJ002_00506	dxr1	1-deoxy-D-xylulose-5-phosphate reductoisomerase	COG:COG0743, COG:I, EC:1.1.1.267, GO:0005515, GO:0008299, GO:0030145, GO:0030604, GO:0046872, GO:0051484, GO:0070402, KEGG:K00099, RefSeq:WP_000241790.1, SO:0001217, UniParc:UPI00005B4B7C, UniRef:UniRef100_A0AB35PC65, UniRef:UniRef50_O31753, UniRef:UniRef90_Q81N10
chromosome	cds	491554	492675	-	GBJ002_00507	perM	AI-2E family transporter	COG:COG0628, COG:R, RefSeq:WP_000411479.1, SO:0001217, UniParc:UPI000188BED3, UniRef:UniRef100_A0AAP6M351, UniRef:UniRef50_A0A090Z098, UniRef:UniRef90_J9C075
chromosome	cds	492739	492987	-	GBJ002_00508	yeaQ	Integral membrane protein	COG:COG2261, COG:R, RefSeq:WP_000539733.1, SO:0001217, UniParc:UPI00016B473C, UniRef:UniRef100_A0A1S9YX19, UniRef:UniRef50_Q2G103, UniRef:UniRef90_J8B4E2
chromosome	cds	493197	493658	+	GBJ002_00509	rimI	N-acetyltransferase domain-containing protein	COG:COG0456, COG:J, RefSeq:WP_000601236.1, SO:0001217, UniParc:UPI00005B4196, UniRef:UniRef100_A0AB35PC61, UniRef:UniRef50_J9BZ20, UniRef:UniRef90_W8YDK1
chromosome	ncRNA-region	493697	493840	+			c-di-AMP riboswitch aptamer (ydaO/yuaA leader)	RFAM:RF00379, SO:0000140
chromosome	cds	493938	494081	+	GBJ002_00510		Transposase	RefSeq:WP_000945244.1, SO:0001217, UniParc:UPI00001915E3, UniRef:UniRef100_A0AAC8SG79, UniRef:UniRef50_A0A1S9WSJ8, UniRef:UniRef90_A0A1S9WSJ8
chromosome	cds	494295	496046	-	GBJ002_00511		Collagen triple helix repeat (20 copies)	RefSeq:WP_001215784.1, SO:0001217, UniParc:UPI00005B4477, UniRef:UniRef100_A0AB35PHA0, UniRef:UniRef50_A0A2A7BK22, UniRef:UniRef90_A0AAX3HR50
chromosome	cds	496181	496642	-	GBJ002_00512		Ubiquinone/menaquinone biosynthesis methyltransferase ubie	SO:0001217, UniParc:UPI0001A1E158, UniRef:UniRef100_A0AB35PE76, UniRef:UniRef50_B7IPM7, UniRef:UniRef90_B7IPM7
chromosome	cds	496676	496945	-	GBJ002_00513		Methyltransferase domain-containing protein	SO:0001217, UniParc:UPI00005B4A2F, UniRef:UniRef100_A0A9X6VDV3, UniRef:UniRef50_J8BTZ8, UniRef:UniRef90_A0A9W5VKV9
chromosome	cds	496984	497526	-	GBJ002_00514		Zinc finger CGNR domain-containing protein	COG:COG5516, COG:R, RefSeq:WP_001072948.1, SO:0001217, UniParc:UPI00005B5174, UniRef:UniRef100_B7IPM9, UniRef:UniRef50_Q81B43, UniRef:UniRef90_Q81B43
chromosome	cds	497639	498835	+	GBJ002_00515	uhpC	Major facilitator superfamily (MFS) profile domain-containing protein	COG:COG2271, COG:G, RefSeq:WP_000834868.1, SO:0001217, UniParc:UPI00027B3F24, UniRef:UniRef100_A0A9Q1VXY9, UniRef:UniRef50_J9BZ23, UniRef:UniRef90_J9BZ23
chromosome	cds	498918	499832	-	GBJ002_00516	hemYx	TPR repeat-containing protein	COG:COG3071, COG:S, RefSeq:WP_001024467.1, SO:0001217, UniParc:UPI00016B4741, UniRef:UniRef100_A0A9X6Y9M8, UniRef:UniRef50_A0A9X6ZUJ7, UniRef:UniRef90_A0A9W3L8P2
